x,y,x
0.677966102,0.416666667,RED
0.847457627,0,RED
5.254237288,5,BLUE
8.474576271,10,GREEN
6.949152542,7.5,GREEN
8.305084746,8.333333333,GREEN
7.796610169,7.083333333,GREEN
8.13559322,8.75,GREEN
9.491525424,8.333333333,GREEN
5.93220339,6.666666667,GREEN
8.983050847,7.083333333,GREEN
8.13559322,7.083333333,GREEN
0.847457627,0.416666667,RED
8.644067797,10,GREEN
6.949152542,7.916666667,GREEN
7.288135593,7.5,GREEN
7.627118644,8.333333333,GREEN
6.779661017,7.916666667,GREEN
6.949152542,9.583333333,GREEN
7.288135593,9.166666667,GREEN
7.627118644,7.083333333,GREEN
9.661016949,8.75,GREEN
10,9.166666667,GREEN
1.016949153,0.416666667,RED
6.779661017,5.833333333,GREEN
7.966101695,9.166666667,GREEN
6.610169492,7.916666667,GREEN
9.661016949,7.916666667,GREEN
6.610169492,7.083333333,GREEN
7.966101695,8.333333333,GREEN
8.474576271,7.083333333,GREEN
6.440677966,7.083333333,GREEN
6.610169492,7.083333333,GREEN
7.796610169,8.333333333,GREEN
0.677966102,0,RED
8.13559322,6.25,GREEN
8.644067797,7.5,GREEN
9.152542373,7.916666667,GREEN
7.796610169,8.75,GREEN
6.949152542,5.833333333,GREEN
7.796610169,5.416666667,GREEN
8.644067797,9.166666667,GREEN
7.796610169,9.583333333,GREEN
7.627118644,7.083333333,GREEN
6.440677966,7.083333333,GREEN
0.169491525,0,RED
7.457627119,8.333333333,GREEN
7.796610169,9.583333333,GREEN
6.949152542,9.166666667,GREEN
6.949152542,7.5,GREEN
8.305084746,9.166666667,GREEN
7.966101695,10,GREEN
7.118644068,9.166666667,GREEN
6.779661017,7.5,GREEN
7.118644068,7.916666667,GREEN
7.457627119,9.166666667,GREEN
0.338983051,0.416666667,RED
6.949152542,7.083333333,GREEN
0.847457627,1.25,RED
0.508474576,1.25,RED
0.677966102,0.833333333,RED
1.186440678,0.833333333,RED
0.677966102,0.416666667,RED
0.847457627,0.833333333,RED
1.186440678,0.416666667,RED
0.847457627,1.25,RED
0,0.416666667,RED
1.186440678,1.666666667,RED
1.525423729,0.416666667,RED
1.016949153,0.416666667,RED
1.016949153,1.25,RED
0.847457627,0.416666667,RED
0.677966102,0.416666667,RED
0.508474576,0.416666667,RED
1.016949153,0.416666667,RED
1.016949153,0.416666667,RED
0.847457627,1.25,RED
0.847457627,0,RED
0.677966102,0.416666667,RED
0.847457627,0.416666667,RED
0.338983051,0.416666667,RED
0.508474576,0.416666667,RED
0.677966102,0,RED
0.508474576,0.416666667,RED
0.847457627,0.416666667,RED
0.847457627,0.416666667,RED
0.508474576,0.833333333,RED
0.508474576,0.833333333,RED
0.508474576,0.416666667,RED
1.016949153,2.083333333,RED
1.525423729,1.25,RED
0.677966102,0.833333333,RED
1.016949153,0.416666667,RED
0.677966102,0.416666667,RED
0.847457627,0.416666667,RED
0.677966102,0.416666667,RED
0.677966102,0.416666667,RED
6.271186441,5.416666667,BLUE
5.93220339,5.833333333,BLUE
6.610169492,5.833333333,BLUE
5.084745763,5,BLUE
6.101694915,5.833333333,BLUE
5.93220339,5,BLUE
6.271186441,6.25,BLUE
3.898305085,3.75,BLUE
6.101694915,5,BLUE
1.186440678,1.25,RED
4.915254237,5.416666667,BLUE
4.237288136,3.75,BLUE
5.423728814,5.833333333,BLUE
5.084745763,3.75,BLUE
6.271186441,5.416666667,BLUE
4.406779661,5,BLUE
5.762711864,5.416666667,BLUE
5.93220339,5.833333333,BLUE
5.254237288,3.75,BLUE
5.93220339,5.833333333,BLUE
0.677966102,0.833333333,RED
4.915254237,4.166666667,BLUE
6.440677966,7.083333333,BLUE
5.084745763,5,BLUE
6.610169492,5.833333333,BLUE
6.271186441,4.583333333,BLUE
5.593220339,5,BLUE
5.762711864,5.416666667,BLUE
6.440677966,5.416666667,BLUE
6.779661017,6.666666667,BLUE
5.93220339,5.833333333,BLUE
0.847457627,0.416666667,RED
4.237288136,3.75,BLUE
4.745762712,4.166666667,BLUE
4.576271186,3.75,BLUE
4.915254237,4.583333333,BLUE
6.949152542,6.25,BLUE
5.93220339,5.833333333,BLUE
5.93220339,6.25,BLUE
6.271186441,5.833333333,BLUE
5.762711864,5,BLUE
5.254237288,5,BLUE
0.677966102,0.416666667,RED
5.084745763,5,BLUE
5.762711864,4.583333333,BLUE
6.101694915,5.416666667,BLUE
5.084745763,4.583333333,BLUE
3.898305085,3.75,BLUE
5.423728814,5,BLUE
5.423728814,4.583333333,BLUE
5.423728814,5,BLUE
5.593220339,5,BLUE
3.389830508,4.166666667,BLUE
