ID,X,Y
collective       ,0.156674755,0.107595938
a-a-p            ,0.13899208,0.083707843
a-ads-xml        ,-0.071677037,0.730480556
a-chat           ,-0.157796252,-0.038994799
a-k-i-r-a        ,0.231698439,0.307537855
a-m-s            ,0.345697097,-0.490757026
a-muse-3d        ,-0.346885985,-0.097012739
a-note           ,-0.582806389,-0.27026908
a-renet          ,-0.195807418,-0.520470621
a-s-m            ,0.82950542,0.182987676
a2bformat        ,-0.184490537,-0.392031925
a2billing        ,0.236401439,0.076204833
a2d              ,0.617766248,-0.125000343
a2ixlibrary      ,-0.772142851,0.037682805
a2j              ,0.505552118,-0.737510009
a3dpi            ,0.366467969,0.448214129
a4l              ,-0.057742141,0.215821066
a52source        ,-0.642549179,-0.302921239
aa-project       ,0.095665859,-0.885969284
aaa4avalon       ,0.131002802,0.546644283
aaaframework     ,0.060619198,0.621500494
aacls            ,-0.269002179,-0.07131191
aadataminer      ,-0.339727292,-0.725510655
aaf              ,-0.500328822,-0.65106105
aaf-edit-pack    ,-0.49517197,-0.661558979
aaio             ,-0.341063707,0.546950315
aajguestbook     ,0.880295836,-0.295941706
aakruthi         ,-0.545465212,-0.218884649
aaloha           ,-0.81842054,-0.071368193
aam6000ug        ,-0.354649772,-0.687223211
aamfetch         ,0.214838742,0.262589538
aaoconfig        ,0.859678304,-0.257418489
aapje            ,-0.14004646,-0.071294066
aapjez           ,-0.147814561,-0.075302365
aaps             ,-0.542242284,0.089025864
aarchitect       ,-0.085740036,-0.077626599
aardvarkfm       ,-0.269119751,-0.263825383
aarmed           ,-0.288573861,-0.143745106
aaron            ,-0.007452621,0.09851663
aas              ,0.930132059,0.10228787
aasgard          ,-0.680791325,-0.378183785
aatv             ,-0.217774224,0.788272857
ab2foaf          ,0.169099404,-0.084286196
abacom           ,0.685670235,-0.168403532
abat             ,-0.133949133,-0.405015294
abatools         ,0.138376697,0.090652186
abbot            ,-0.288498191,0.653270851
abbott           ,0.411076082,-0.518968267
abc              ,-0.138126926,-0.475622436
abc-shell        ,-0.748029585,0.044103859
abchr            ,0.140144815,0.436971457
abcp             ,-0.145660769,-0.481864422
abdo             ,-0.741349386,0.095400206
abe              ,0.496147014,0.345615071
abele            ,-0.08581125,0.289471041
abeni            ,0.26726227,0.288699626
abile-morgan     ,0.306504974,0.703779108
abiword          ,-0.21013604,-0.087142317
abkey            ,-0.347436633,0.525068566
aboot            ,-0.582552838,0.055443164
abra             ,-0.360390244,0.523075379
abraham          ,0.757353581,0.435427209
abrick           ,-0.648057351,0.223121874
abscnc           ,0.221380369,-0.133180212
absinth          ,-0.347366849,-0.073410231
absolut-library  ,0.214935837,0.547424899
absolver         ,-0.79843127,-0.022188277
abstract         ,-0.254412313,-0.283079491
abstractplugin   ,0.489510561,0.461273944
abtlinux         ,0.527272991,-0.474949591
abuledu1         ,0.129879521,-0.002169674
abuse            ,0.038438575,-0.000449293
abuseemail       ,0.614724144,0.214221514
abxlib           ,-0.007398941,0.053960289
abyss            ,-0.576114467,0.305653098
ac-archive       ,0.370764481,0.242286689
ac2memomaster    ,-0.222513264,-0.334749176
ac3              ,0.598305727,-0.08748766
ac3encode        ,0.182188095,0.884271214
ac3filter        ,-0.556468037,-0.032043964
acadehelp        ,0.462039239,-0.623038282
acalproj         ,0.259663718,-0.103381802
acapd            ,-0.131668615,-0.122669667
acat             ,0.615801793,-0.353341767
acbic            ,0.692243487,-0.295130037
acbr             ,-0.713530836,-0.048127162
accedit          ,-0.023865765,-0.398316122
accel-fb         ,-0.489525674,-0.03932351
accela           ,-0.097424786,0.146969108
acceleration     ,0.241040442,-0.879575286
accelerator3d    ,-0.438904858,-0.347470341
accessbuild      ,0.557585991,-0.672095965
accesschecker    ,0.175519269,-0.515689927
accessgrid       ,-0.505958357,0.358431551
accessmusic      ,-0.053167293,0.674527912
accessrunner     ,-0.354006095,-0.68071146
acchain          ,0.354211333,0.525259585
accordeur        ,-0.183848195,-0.090483455
accountancy      ,-0.297798018,0.49311238
acctsync         ,0.511777742,-0.454903634
accugps          ,0.332686597,-0.176139282
acd              ,-0.835280461,-0.103414715
acds             ,0.31630624,-0.648743332
ace-asn1         ,0.607258052,-0.012540973
acedns           ,0.031095908,-0.281268536
acegisecurity    ,0.092643165,0.582952879
acemu            ,0.515852055,0.076072275
acerhk           ,-0.432394308,-0.572728924
acf              ,0.200661015,-0.06385561
acg              ,-0.059743389,-0.659592905
achaeacure       ,-0.576158313,0.298801939
achat            ,0.628548843,-0.077684759
achelous         ,0.289963599,-0.096487691
acheron-l        ,-0.005803491,0.676574837
achilles         ,-0.2939056,0.287911744
acid             ,-0.094380313,0.159607906
acidlab          ,-0.137729628,-0.019920619
acity            ,0.363584438,0.781699979
ackeralbums      ,-0.039817514,-0.360045345
ackertodo        ,-0.037757773,-0.368627071
aclean           ,0.849112095,0.28354578
aclocator        ,0.912728523,-0.161164242
acmacros         ,-0.413879277,-0.834676546
acme-stocks      ,-0.391322605,0.339368999
acmemail         ,-0.06010312,0.291364437
acmengine        ,0.600758077,-0.153989972
acmeschool       ,-0.364777965,-0.616582863
acmm             ,0.908039116,-0.032678879
acms             ,0.770697968,0.020463751
acmup            ,-0.510162712,0.377661653
acocc            ,-0.205932046,0.377801529
acorncd          ,-0.175992488,-0.039265687
acorndrop        ,0.280255637,-0.406732942
acornhunt        ,0.300024876,-0.392101225
acornicq         ,-0.203993682,-0.121028136
acp              ,-0.693826591,-0.095406935
acpck            ,-0.347178918,0.461204349
acpcontactos     ,-0.628501356,-0.378036666
acpi             ,-0.147602987,-0.312332816
acpi-largesys    ,-0.177414249,-0.227368079
acpid            ,-0.183813788,-0.327931002
acqlite          ,0.469897502,0.254688708
acraft           ,-0.076747227,0.463000352
acs-misc         ,-0.446256469,0.39448264
acsdams          ,-0.448161863,-0.764208568
acsjava          ,-0.431812185,0.39055546
actemit          ,0.038989394,-0.392140134
actioncache      ,-0.117678829,0.820328495
actioncrypt      ,0.620660053,0.473966554
actiondirectory  ,-0.159371039,0.209542961
actiongame       ,-0.334217701,0.477470855
actionstep       ,0.620251519,0.512362156
active           ,-0.160634102,0.616239978
activelock       ,0.3277385,-0.598790511
activemsn        ,0.734188075,0.211578923
activismo        ,-0.456769552,-0.603735012
actlabtv         ,0.215131973,0.338529653
actor            ,0.212104834,-0.140425742
acwiki           ,-0.386655169,0.310887087
acx100           ,-0.124979748,0.129287977
acxp             ,-0.478094863,0.25593921
ad-hoc-networks  ,0.653060865,-0.10274943
ad1000           ,-0.445432169,-0.181500739
ada-gerbil       ,-0.386256413,0.371266995
adacl            ,-0.801680535,-0.347112824
adafrom          ,-0.190677877,0.140367097
adagio           ,0.796821578,0.515526413
adai             ,-0.674303819,0.294703782
adaimgsvr        ,-0.811849333,-0.34078847
adaopengl        ,-0.319707321,-0.225365519
adaparse         ,-0.477373768,-0.443427415
adapdev          ,-0.448385285,0.584634995
adapt            ,0.103363907,0.384941612
adaptagrams      ,-0.064193283,-0.008483625
adasdl           ,-0.196493084,0.133896114
adasl            ,-0.165068414,-0.403874127
adb              ,0.620442717,-0.069852313
add              ,-0.149823223,-0.08408375
addicted         ,-0.438951497,-0.340090102
addictive        ,0.692276609,-0.166426728
addon            ,-0.61538503,-0.201850841
address550       ,0.545995407,0.422598641
adduser          ,0.332631052,-0.058555593
adebug           ,0.326358613,0.165492974
adecisiontabgen  ,0.476448406,0.831425761
adept            ,-0.164219547,-0.044817589
adesklets        ,0.007366914,-0.276547453
adesktop         ,-0.013855927,0.788347933
adfopus          ,0.809483778,0.511984817
adftools         ,-0.223265684,0.570589988
adgen            ,-0.353903812,-0.000904444
adi              ,0.228152975,0.236243748
adialer          ,-0.542170106,-0.507777424
adif             ,-0.17088109,0.737119114
adime            ,-0.418802457,-0.443531905
adit             ,0.398007866,0.159814047
adium            ,-0.271187436,0.114281417
adjective        ,0.292988919,-0.352713213
adjustimg        ,0.07123684,-0.322856171
adlook           ,0.822686748,-0.035946722
admachine        ,0.484841703,-0.000737895
admanager        ,-0.373642948,0.551501081
admctrl          ,-0.125141465,-0.228023282
admin-online     ,0.532898734,-0.336559713
admina           ,0.220151974,0.307162378
admixor          ,0.434175494,-0.385672528
admpanel         ,0.009221237,-0.385722718
adms             ,-0.279757465,-0.38529749
adn              ,-0.15690718,-0.706283243
adnetcamview     ,-0.138089863,-0.852029502
adns             ,0.352249525,-0.769368558
adobe-source     ,-0.092590284,0.146761022
adodb-xmlschema  ,-0.035910735,-0.287161839
adodbapi         ,-0.007415076,0.587256393
adodotnetsqlite  ,-0.595857419,-0.10976086
adolpy           ,-0.236123423,0.09526558
adplug           ,0.307992754,0.268694096
adq              ,-0.074763007,0.103433142
adr              ,0.257277063,-0.34080533
adrem3d          ,0.256638024,-0.330725801
adsl4linux       ,0.221539218,-0.475281413
adspsim          ,-0.059983958,-0.045295521
adtalgorlibrary  ,0.473071693,-0.359098768
adtl             ,0.119969774,-0.321719287
adtool           ,-0.125013818,0.12520378
adtools          ,-0.747325402,0.038317364
adulator         ,-0.229905604,0.810121619
adum             ,-0.320980111,0.204514416
adump            ,-0.03404826,-0.03280518
aduna-build      ,0.208312266,0.182283887
adv-net-forums   ,0.09725356,-0.329717118
adv-random-gen   ,0.555072487,-0.563264733
advanced-ado     ,0.705408697,0.024891954
advanced-remote  ,0.718623241,0.031583927
advancedbb2002   ,0.437621644,-0.276537641
advanceserv      ,0.601492788,-0.132343474
advcad           ,-0.628464244,0.100429351
advgame          ,0.673655653,-0.039268107
adytum           ,0.574389048,-0.756302282
aed              ,-0.314778778,-0.526777698
aedgui           ,-0.323033803,-0.007647346
aedlogin         ,-0.30812821,0.053531275
aegis            ,-0.434480872,0.801231805
aegiswm          ,0.72493965,-0.073052334
aeneas           ,-0.007400406,0.918738681
aeon-linux       ,0.110674172,0.020075908
